The robot has lost the wire!
Bus voltage is 23.160425186157227V
Enter "y" to restart driving loop, or "n" to quit: y
|     11 |            |            |      6 |
|     14 |            |            |     10 |
|     12 |            |            |      8 |
|     14 |            |            |      8 |
|     13 |            |            |      7 |
|     14 |            |            |      8 |
|     14 |            |            |      9 |
|     13 |            |            |     10 |
|     12 |            |            |      8 |
|     11 |            |            |      7 |
|     12 |            |            |      8 |
|     12 |            |            |      7 |
|     13 |            |            |     10 |
|     11 |            |            |      7 |
|     11 |            |            |      7 |
|     11 |            |            |     10 |
|     13 |            |            |      6 |
|     13 |            |            |      8 |
|     12 |            |            |      9 |
|     13 |            |            |      7 |
|     12 |            |            |      7 |
|     13 |            |            |      6 |
|     13 |            |            |      5 |
|     13 |            |            |      7 |
|     12 |            |            |      8 |
|     12 |            |            |      9 |
|     12 |            |            |      7 |
|     12 |            |            |      6 |
|     14 |            |            |      9 |
|     13 |            |            |      9 |
|     11 |            |            |      9 |
|     13 |            |            |      7 |
|     13 |            |            |      9 |
|     14 |            |            |      9 |
|     17 |            |            |     10 |
|     13 |            |            |     11 |
|     14 |            |            |     11 |
|     13 |            |            |     13 |
|     15 |            |            |     10 |
|     13 |            |            |     11 |
|     13 |            |            |      8 |
|     12 |            |            |      6 |
|     13 |            |            |      9 |
|     13 |            |            |     10 |
|     12 |            |            |      6 |
|     12 |            |            |     10 |
|     13 |            |            |      6 |
|      9 |            |            |      9 |
|     13 |            |            |      8 |
|     13 |            |            |      8 |
|    416 |            |            |      8 |
|   1237 |            |            |      8 |
|   1928 |            |            |      8 |
|   2147 |          █ |            |     10 |
|   2350 |          █ |            |      7 |
|   2567 |          █ |            |      8 |
|   2610 |          █ |            |      5 |
|   2704 |          █ |            |      8 |
|   3246 |          █ |            |     11 |
|   4008 |         ██ |            |      9 |
|   5158 |         ██ |            |      6 |
|   7228 |        ███ |            |      6 |
|   9897 |       ████ |            |      4 |
|  12090 |     ██████ |            |      4 |
|  12444 |     ██████ |            |      7 |
|  12303 |     ██████ |            |      8 |
|  12597 |     ██████ |            |      2 |
|  12664 |     ██████ |            |      2 |
|  12104 |     ██████ |            |      2 |
|  11626 |      █████ |            |      2 |
|  11572 |      █████ |            |      4 |
|  10795 |      █████ |            |      7 |
|  10830 |      █████ |            |     13 |
|  13080 |     ██████ |            |     12 |
|  14080 |    ███████ |            |     10 |
|  13843 |     ██████ |            |     10 |
|  12580 |     ██████ |            |     34 |
|  14941 |    ███████ |            |     31 |
|  15537 |    ███████ |            |     39 |
|  16807 |   ████████ |            |     16 |
|  16765 |   ████████ |            |     15 |
|  17538 |   ████████ |            |     20 |
|  17290 |   ████████ |            |     43 |
|  19161 |  █████████ |            |     22 |
|  20252 | ██████████ |            |     13 |
|  20510 | ██████████ |            |      6 |
|  20050 | ██████████ |            |     12 |
|  21290 | ██████████ |            |     13 |
|  20337 | ██████████ |            |     26 |
|  20885 | ██████████ |            |     16 |
|  19280 |  █████████ |            |     14 |
|  17992 |   ████████ |            |      8 |
|  16080 |   ████████ |            |      3 |
|  13394 |     ██████ |            |      6 |
|  12835 |     ██████ |            |     17 |
|  12599 |     ██████ |            |     28 |
|  15061 |    ███████ |            |     19 |
|  14632 |    ███████ |            |      8 |
|  15261 |    ███████ |            |      6 |
|  14521 |    ███████ |            |      9 |
|  13513 |     ██████ |            |      4 |
|  11400 |      █████ |            |      7 |
|   9598 |       ████ |            |      7 |
|   6366 |        ███ |            |      5 |
|   4960 |         ██ |            |      2 |
|   3814 |          █ |            |      1 |
|   3115 |          █ |            |      4 |
|   3050 |          █ |            |      2 |
|   3495 |          █ |            |      5 |
|   3876 |          █ |            |      2 |
|   3656 |          █ |            |     12 |
|   2975 |          █ |            |      5 |
|   2124 |          █ |            |      4 |
|   1322 |            |            |      7 |
|    407 |            |            |      5 |
|    232 |            |            |      8 |
|    121 |            |            |     15 |
|     14 |            |            |      3 |
|      7 |            |            |      4 |
|      6 |            |            |      1 |
|      4 |            |            |      2 |
|      9 |            |            |      4 |
|      8 |            |            |      5 |
|     99 |            |            |      7 |
|    315 |            |            |      6 |
|    843 |            |            |      9 |
|   1555 |            |            |     10 |
|   2296 |          █ |            |      8 |
|   3217 |          █ |            |      7 |
|   3415 |          █ |            |      4 |
|   3166 |          █ |            |      3 |
|   2883 |          █ |            |      2 |
|   2152 |          █ |            |      4 |
|   1683 |            |            |      4 |
|    960 |            |            |      4 |
|    410 |            |            |      3 |
|     97 |            |            |      3 |
|      9 |            |            |      5 |
|      9 |            |            |      7 |
|     13 |            |            |      9 |
|     15 |            |            |      8 |
|    250 |            |            |      7 |
|   1389 |            |            |      9 |
|   3022 |          █ |            |      8 |
|   4215 |         ██ |            |      7 |
|   4515 |         ██ |            |      3 |
|   4481 |         ██ |            |      4 |
|   4192 |         ██ |            |      5 |
|   3658 |          █ |            |      8 |
|   2863 |          █ |            |      5 |
|   2107 |          █ |            |      6 |
|   1694 |            |            |      8 |
|   1259 |            |            |      3 |
|    670 |            |            |      4 |
|    544 |            |            |      6 |
|    975 |            |            |      2 |
|   1370 |            |            |      3 |
|   1995 |            |            |      4 |
|   3364 |          █ |            |      5 |
|   3868 |          █ |            |      3 |
|   3768 |          █ |            |      1 |
|   3614 |          █ |            |      4 |
|   3702 |          █ |            |      3 |
|   2647 |          █ |            |      5 |
|   1953 |            |            |      2 |
|   1114 |            |            |      3 |
|      8 |            |            |      3 |
|      6 |            |            |      1 |
|      5 |            |            |      3 |
|      9 |            |            |      5 |
|      8 |            |            |      7 |
|      1 |            |            |      7 |
|    728 |            |            |      7 |
|   1815 |            |            |      7 |
|   3892 |          █ |            |      7 |
|   4069 |         ██ |            |      8 |
|   3721 |          █ |            |      3 |
|   3147 |          █ |            |     10 |
|   2635 |          █ |            |      6 |
|   1652 |            |            |      8 |
|    411 |            |            |      5 |
|     13 |            |            |      9 |
|     11 |            |            |      7 |
|     12 |            |            |      4 |
|      7 |            |            |      3 |
|     11 |            |            |      5 |
|      9 |            |            |      5 |
|     12 |            |            |      6 |
|     11 |            |            |      9 |
|     13 |            |            |      5 |
|     11 |            |            |      8 |
|     10 |            |            |      4 |
|     10 |            |            |      3 |
|      8 |            |            |      5 |
|      4 |            |            |      3 |
|      7 |            |            |      3 |
|      8 |            |            |      4 |
|      7 |            |            |      4 |
|     10 |            |            |      7 |
|     11 |            |            |      7 |
|     11 |            |            |      3 |
|      9 |            |            |      6 |
|      8 |            |            |      4 |
|      9 |            |            |      6 |
|     10 |            |            |      5 |
|     12 |            |            |      7 |
|     10 |            |            |      5 |
|     10 |            |            |      6 |
|     11 |            |            |      9 |
|     11 |            |            |      5 |
|     10 |            |            |      6 |
|     11 |            |            |      5 |
|      9 |            |            |      7 |
|      9 |            |            |      7 |
|     11 |            |            |      5 |
|     11 |            |            |      6 |
|     11 |            |            |      6 |
|     10 |            |            |      6 |
|     12 |            |            |      6 |
|      8 |            |            |      5 |
|     10 |            |            |      5 |
|      6 |            |            |      1 |
|      7 |            |            |      4 |
|      9 |            |            |      4 |
|      9 |            |            |      5 |
|     11 |            |            |      6 |
|     11 |            |            |      7 |
|      9 |            |            |      5 |
|     13 |            |            |      6 |
|     11 |            |            |      3 |
|      9 |            |            |      6 |
|      8 |            |            |      5 |
|     10 |            |            |      8 |
|     14 |            |            |      8 |
|     12 |            |            |      7 |
|     11 |            |            |      9 |
|     11 |            |            |      8 |
|     13 |            |            |      9 |
|     12 |            |            |      8 |
|     12 |            |            |      8 |
|     13 |            |            |      9 |
|      9 |            |            |      7 |
|     14 |            |            |      9 |
|     14 |            |            |      8 |
|    545 |            |            |      9 |
|   1767 |            |            |      7 |
|   3232 |          █ |            |      9 |
|   4642 |         ██ |            |      6 |
|   5703 |         ██ |            |      5 |
|   7548 |        ███ |            |      8 |
|  11799 |      █████ |            |      8 |
|  15451 |    ███████ |            |      8 |
|  17633 |   ████████ |            |      7 |
|  18742 |  █████████ |            |      6 |
|  19256 |  █████████ |            |      7 |
|  19040 |  █████████ |            |      6 |
|  19648 |  █████████ |            |      6 |
|  19156 |  █████████ |            |      8 |
|  18859 |  █████████ |            |      6 |
|  17462 |   ████████ |            |      4 |
|  16136 |   ████████ |            |      9 |
|  13454 |     ██████ |            |      4 |
|  10273 |      █████ |            |      7 |
|   6677 |        ███ |            |      3 |
|   5195 |         ██ |            |     15 |
|   4908 |         ██ |            |      8 |
|   5490 |         ██ |            |     13 |
|   6120 |        ███ |            |      2 |
|   6985 |        ███ |            |      4 |
|   7921 |        ███ |            |      8 |
|   8922 |       ████ |            |      1 |
|   8664 |       ████ |            |      1 |
|   7639 |        ███ |            |      1 |
|   6435 |        ███ |            |      6 |
|   5231 |         ██ |            |      1 |
|   4590 |         ██ |            |      5 |
|   3778 |          █ |            |      2 |
|   3331 |          █ |            |      8 |
|   2800 |          █ |            |      5 |
|   2920 |          █ |            |     11 |
|   3372 |          █ |            |     10 |
|   3416 |          █ |            |      7 |
|   3132 |          █ |            |      3 |
|   2810 |          █ |            |     12 |
|   2197 |          █ |            |      5 |
|   1780 |            |            |     15 |
|   1185 |            |            |     12 |
|    590 |            |            |      1 |
|    174 |            |            |     13 |
|      6 |            |            |      9 |
|      3 |            |            |      2 |
|      2 |            |            |      2 |
|      3 |            |            |      5 |
|      7 |            |            |      2 |
|      4 |            |            |      3 |
|      2 |            |            |      3 |
|    643 |            |            |      2 |
|   1202 |            |            |      5 |
|   1754 |            |            |      2 |
|   2099 |          █ |            |      2 |
|   1863 |            |            |      4 |
|   1521 |            |            |      6 |
|   1152 |            |            |      5 |
|    633 |            |            |      6 |
|     98 |            |            |      6 |
|     13 |            |            |      6 |
|      9 |            |            |      5 |
|      8 |            |            |      3 |
|      5 |            |            |      3 |
|     10 |            |            |      4 |
|      8 |            |            |      2 |
|    555 |            |            |      9 |
|   1270 |            |            |      4 |
|   2325 |          █ |            |      7 |
|   2403 |          █ |            |      3 |
|   1883 |            |            |      3 |
|   1313 |            |            |      2 |
|    425 |            |            |      7 |
|     11 |            |            |      7 |
|     11 |            |            |      6 |
|      9 |            |            |      7 |
|     11 |            |            |      3 |
|      6 |            |            |      1 |
|      4 |            |            |      4 |
|      8 |            |            |      5 |
|     13 |            |            |      7 |
|      9 |            |            |      6 |
|     13 |            |            |      7 |
|     11 |            |            |      7 |
|     11 |            |            |      7 |
|     11 |            |            |      9 |
|     13 |            |            |     10 |
|     11 |            |            |      9 |
|     14 |            |            |      9 |
|     11 |            |            |      7 |
|     13 |            |            |     10 |
|     11 |            |            |      8 |
|      8 |            |            |      8 |
|     13 |            |            |      8 |
|     13 |            |            |      9 |
|     11 |            |            |      8 |
|     14 |            |            |      6 |
|     13 |            |            |     11 |
