id,time,name,value
68,2020-04-17 01:00:16.735297,LSM9DS1 Z-Accelerometer,9.529
69,2020-04-17 01:00:16.735297,LSM9DS1 X-Magnetometer,0.371
70,2020-04-17 01:00:16.735297,LSM9DS1 Y-Magnetometer,0.547
71,2020-04-17 01:00:16.735297,LSM9DS1 Z-Magnetometer,-0.268
72,2020-04-17 01:00:16.735297,LSM9DS1 X-Gyroscope,-0.123
73,2020-04-17 01:00:16.735297,LSM9DS1 Y-Gyroscope,-0.411
74,2020-04-17 01:00:16.735297,LSM9DS1 Z-Gyroscope,1.829
75,2020-04-17 01:00:16.735297,LSM9DS1 Temperature,6.5
76,2020-04-17 01:00:16.735297,LSM9DS1 X-Accelerometer Average,-0.05258490566037737
77,2020-04-17 01:00:16.735297,LSM9DS1 Y-Accelerometer Average,-0.5890125786163517
78,2020-04-17 01:00:16.735297,LSM9DS1 Z-Accelerometer Average,9.5735534591195
79,2020-04-17 01:00:18.272048,LSM9DS1 X-Accelerometer,-0.022
80,2020-04-17 01:00:18.272048,LSM9DS1 Y-Accelerometer,-0.561
81,2020-04-17 01:00:18.272048,LSM9DS1 Z-Accelerometer,9.605
82,2020-04-17 01:00:18.272048,LSM9DS1 X-Magnetometer,0.38
83,2020-04-17 01:00:18.272048,LSM9DS1 Y-Magnetometer,0.537
84,2020-04-17 01:00:18.272048,LSM9DS1 Z-Magnetometer,-0.263
85,2020-04-17 01:00:18.272048,LSM9DS1 X-Gyroscope,-0.263
86,2020-04-17 01:00:18.272048,LSM9DS1 Y-Gyroscope,-0.394
87,2020-04-17 01:00:18.272048,LSM9DS1 Z-Gyroscope,1.908
88,2020-04-17 01:00:18.272048,LSM9DS1 Temperature,6.5
89,2020-04-17 01:00:18.272048,LSM9DS1 X-Accelerometer Average,-0.05189937106918236
90,2020-04-17 01:00:18.272048,LSM9DS1 Y-Accelerometer Average,-0.5947295597484276
91,2020-04-17 01:00:18.272048,LSM9DS1 Z-Accelerometer Average,9.575616352201257
92,2020-04-17 01:00:19.780426,LSM9DS1 X-Accelerometer,-0.051
93,2020-04-17 01:00:19.780426,LSM9DS1 Y-Accelerometer,-0.611
94,2020-04-17 01:00:19.780426,LSM9DS1 Z-Accelerometer,9.556
95,2020-04-17 01:00:19.780426,LSM9DS1 X-Magnetometer,0.372
96,2020-04-17 01:00:19.780426,LSM9DS1 Y-Magnetometer,0.552
97,2020-04-17 01:00:19.780426,LSM9DS1 Z-Magnetometer,-0.262
98,2020-04-17 01:00:19.780426,LSM9DS1 X-Gyroscope,-0.306
99,2020-04-17 01:00:19.780426,LSM9DS1 Y-Gyroscope,-0.639
100,2020-04-17 01:00:19.780426,LSM9DS1 Z-Gyroscope,1.759
101,2020-04-17 01:00:19.780426,LSM9DS1 Temperature,6.5
102,2020-04-17 01:00:19.780426,LSM9DS1 X-Accelerometer Average,-0.05118354430379748
103,2020-04-17 01:00:19.780426,LSM9DS1 Y-Accelerometer Average,-0.5954430379746832
104,2020-04-17 01:00:19.780426,LSM9DS1 Z-Accelerometer Average,9.582284810126582
105,2020-04-17 01:00:21.290275,LSM9DS1 X-Accelerometer,-0.07
106,2020-04-17 01:00:21.290275,LSM9DS1 Y-Accelerometer,-0.589
107,2020-04-17 01:00:21.290275,LSM9DS1 Z-Accelerometer,9.637
108,2020-04-17 01:00:21.290275,LSM9DS1 X-Magnetometer,0.377
109,2020-04-17 01:00:21.290275,LSM9DS1 Y-Magnetometer,0.545
110,2020-04-17 01:00:21.290275,LSM9DS1 Z-Magnetometer,-0.252
111,2020-04-17 01:00:21.290275,LSM9DS1 X-Gyroscope,-0.271
112,2020-04-17 01:00:21.290275,LSM9DS1 Y-Gyroscope,-0.578
113,2020-04-17 01:00:21.290275,LSM9DS1 Z-Gyroscope,1.724
114,2020-04-17 01:00:21.290275,LSM9DS1 Temperature,6.5
115,2020-04-17 01:00:21.290275,LSM9DS1 X-Accelerometer Average,-0.05332075471698113
116,2020-04-17 01:00:21.290275,LSM9DS1 Y-Accelerometer Average,-0.5922893081761001
117,2020-04-17 01:00:21.290275,LSM9DS1 Z-Accelerometer Average,9.580232704402514
118,2020-04-17 01:00:22.787646,LSM9DS1 X-Accelerometer,-0.034
119,2020-04-17 01:00:22.787646,LSM9DS1 Y-Accelerometer,-0.589
120,2020-04-17 01:00:22.787646,LSM9DS1 Z-Accelerometer,9.561
121,2020-04-17 01:00:22.787646,LSM9DS1 X-Magnetometer,0.377
122,2020-04-17 01:00:22.787646,LSM9DS1 Y-Magnetometer,0.544
123,2020-04-17 01:00:22.787646,LSM9DS1 Z-Magnetometer,-0.254
124,2020-04-17 01:00:22.787646,LSM9DS1 X-Gyroscope,-0.341
125,2020-04-17 01:00:22.787646,LSM9DS1 Y-Gyroscope,-0.665
126,2020-04-17 01:00:22.787646,LSM9DS1 Z-Gyroscope,1.75
127,2020-04-17 01:00:22.787646,LSM9DS1 Temperature,6.5
128,2020-04-17 01:00:22.787646,LSM9DS1 X-Accelerometer Average,-0.053144654088050296
129,2020-04-17 01:00:22.787646,LSM9DS1 Y-Accelerometer Average,-0.5945849056603771
130,2020-04-17 01:00:22.787646,LSM9DS1 Z-Accelerometer Average,9.579339622641507
131,2020-04-17 01:00:24.531504,LSM9DS1 X-Accelerometer,-0.036
132,2020-04-17 01:00:24.531504,LSM9DS1 Y-Accelerometer,-0.575
133,2020-04-17 01:00:24.531504,LSM9DS1 Z-Accelerometer,9.523
134,2020-04-17 01:00:24.531504,LSM9DS1 X-Magnetometer,0.378
135,2020-04-17 01:00:24.531504,LSM9DS1 Y-Magnetometer,0.537
136,2020-04-17 01:00:24.531504,LSM9DS1 Z-Magnetometer,-0.266
137,2020-04-17 01:00:24.531504,LSM9DS1 X-Gyroscope,-0.306
138,2020-04-17 01:00:24.531504,LSM9DS1 Y-Gyroscope,-0.429
139,2020-04-17 01:00:24.531504,LSM9DS1 Z-Gyroscope,1.89
140,2020-04-17 01:00:24.531504,LSM9DS1 Temperature,6.5
141,2020-04-17 01:00:24.531504,LSM9DS1 X-Accelerometer Average,-0.05635220125786164
142,2020-04-17 01:00:24.531504,LSM9DS1 Y-Accelerometer Average,-0.5894339622641509
143,2020-04-17 01:00:24.531504,LSM9DS1 Z-Accelerometer Average,9.571949685534591
144,2020-04-17 01:00:26.042010,LSM9DS1 X-Accelerometer,-0.068
145,2020-04-17 01:00:26.042010,LSM9DS1 Y-Accelerometer,-0.575
146,2020-04-17 01:00:26.042010,LSM9DS1 Z-Accelerometer,9.532
147,2020-04-17 01:00:26.042010,LSM9DS1 X-Magnetometer,0.38
148,2020-04-17 01:00:26.042010,LSM9DS1 Y-Magnetometer,0.553
149,2020-04-17 01:00:26.042010,LSM9DS1 Z-Magnetometer,-0.259
150,2020-04-17 01:00:26.042010,LSM9DS1 X-Gyroscope,-0.289
151,2020-04-17 01:00:26.042010,LSM9DS1 Y-Gyroscope,-0.621
152,2020-04-17 01:00:26.042010,LSM9DS1 Z-Gyroscope,1.768
153,2020-04-17 01:00:26.042010,LSM9DS1 Temperature,6.5
154,2020-04-17 01:00:26.042010,LSM9DS1 X-Accelerometer Average,-0.05362264150943395
155,2020-04-17 01:00:26.042010,LSM9DS1 Y-Accelerometer Average,-0.5915849056603772
156,2020-04-17 01:00:26.042010,LSM9DS1 Z-Accelerometer Average,9.575327044025158
157,2020-04-17 01:00:27.550352,LSM9DS1 X-Accelerometer,-0.051
158,2020-04-17 01:00:27.550352,LSM9DS1 Y-Accelerometer,-0.562
159,2020-04-17 01:00:27.550352,LSM9DS1 Z-Accelerometer,9.559
160,2020-04-17 01:00:27.550352,LSM9DS1 X-Magnetometer,0.376
161,2020-04-17 01:00:27.550352,LSM9DS1 Y-Magnetometer,0.541
162,2020-04-17 01:00:27.550352,LSM9DS1 Z-Magnetometer,-0.259
163,2020-04-17 01:00:27.550352,LSM9DS1 X-Gyroscope,-0.228
164,2020-04-17 01:00:27.550352,LSM9DS1 Y-Gyroscope,-0.49
165,2020-04-17 01:00:27.550352,LSM9DS1 Z-Gyroscope,1.785
166,2020-04-17 01:00:27.550352,LSM9DS1 Temperature,6.5
167,2020-04-17 01:00:27.550352,LSM9DS1 X-Accelerometer Average,-0.052811320754716985
168,2020-04-17 01:00:27.550352,LSM9DS1 Y-Accelerometer Average,-0.5948176100628925
169,2020-04-17 01:00:27.550352,LSM9DS1 Z-Accelerometer Average,9.578641509433961
170,2020-04-17 01:00:29.057403,LSM9DS1 X-Accelerometer,-0.022
171,2020-04-17 01:00:29.057403,LSM9DS1 Y-Accelerometer,-0.568
172,2020-04-17 01:00:29.057403,LSM9DS1 Z-Accelerometer,9.547
173,2020-04-17 01:00:29.057403,LSM9DS1 X-Magnetometer,0.385
174,2020-04-17 01:00:29.057403,LSM9DS1 Y-Magnetometer,0.546
175,2020-04-17 01:00:29.057403,LSM9DS1 Z-Magnetometer,-0.259
176,2020-04-17 01:00:29.057403,LSM9DS1 X-Gyroscope,-0.271
177,2020-04-17 01:00:29.057403,LSM9DS1 Y-Gyroscope,-0.473
178,2020-04-17 01:00:29.057403,LSM9DS1 Z-Gyroscope,1.645
179,2020-04-17 01:00:29.057403,LSM9DS1 Temperature,6.5
180,2020-04-17 01:00:29.057403,LSM9DS1 X-Accelerometer Average,-0.054213836477987394
181,2020-04-17 01:00:29.057403,LSM9DS1 Y-Accelerometer Average,-0.5936226415094338
182,2020-04-17 01:00:29.057403,LSM9DS1 Z-Accelerometer Average,9.578345911949688
183,2020-04-17 01:00:30.559648,LSM9DS1 X-Accelerometer,-0.051
184,2020-04-17 01:00:30.559648,LSM9DS1 Y-Accelerometer,-0.603
185,2020-04-17 01:00:30.559648,LSM9DS1 Z-Accelerometer,9.54
186,2020-04-17 01:00:30.559648,LSM9DS1 X-Magnetometer,0.374
187,2020-04-17 01:00:30.559648,LSM9DS1 Y-Magnetometer,0.546
188,2020-04-17 01:00:30.559648,LSM9DS1 Z-Magnetometer,-0.249
189,2020-04-17 01:00:30.559648,LSM9DS1 X-Gyroscope,-0.193
190,2020-04-17 01:00:30.559648,LSM9DS1 Y-Gyroscope,-0.604
191,2020-04-17 01:00:30.559648,LSM9DS1 Z-Gyroscope,1.899
192,2020-04-17 01:00:30.559648,LSM9DS1 Temperature,6.5
193,2020-04-17 01:00:30.559648,LSM9DS1 X-Accelerometer Average,-0.05324683544303795
194,2020-04-17 01:00:30.559648,LSM9DS1 Y-Accelerometer Average,-0.5937405063291138
195,2020-04-17 01:00:30.559648,LSM9DS1 Z-Accelerometer Average,9.581037974683541
196,2020-04-17 01:00:32.111361,LSM9DS1 X-Accelerometer,-0.107
197,2020-04-17 01:00:32.111361,LSM9DS1 Y-Accelerometer,-0.599
198,2020-04-17 01:00:32.111361,LSM9DS1 Z-Accelerometer,9.565
199,2020-04-17 01:00:32.111361,LSM9DS1 X-Magnetometer,0.382
200,2020-04-17 01:00:32.111361,LSM9DS1 Y-Magnetometer,0.533
201,2020-04-17 01:00:32.111361,LSM9DS1 Z-Magnetometer,-0.267
202,2020-04-17 01:00:32.111361,LSM9DS1 X-Gyroscope,-0.123
203,2020-04-17 01:00:32.111361,LSM9DS1 Y-Gyroscope,-0.639
204,2020-04-17 01:00:32.111361,LSM9DS1 Z-Gyroscope,1.811
205,2020-04-17 01:00:32.111361,LSM9DS1 Temperature,6.5
206,2020-04-17 01:00:32.111361,LSM9DS1 X-Accelerometer Average,-0.05661006289308176
207,2020-04-17 01:00:32.111361,LSM9DS1 Y-Accelerometer Average,-0.593842767295597
208,2020-04-17 01:00:32.111361,LSM9DS1 Z-Accelerometer Average,9.576459119496851
209,2020-04-17 01:00:33.500963,LSM9DS1 X-Accelerometer,-0.066
210,2020-04-17 01:00:33.500963,LSM9DS1 Y-Accelerometer,-0.605
211,2020-04-17 01:00:33.500963,LSM9DS1 Z-Accelerometer,9.568
212,2020-04-17 01:00:33.500963,LSM9DS1 X-Magnetometer,0.379
213,2020-04-17 01:00:33.500963,LSM9DS1 Y-Magnetometer,0.542
214,2020-04-17 01:00:33.500963,LSM9DS1 Z-Magnetometer,-0.253
215,2020-04-17 01:00:33.500963,LSM9DS1 X-Gyroscope,-0.079
216,2020-04-17 01:00:33.500963,LSM9DS1 Y-Gyroscope,-0.569
217,2020-04-17 01:00:33.500963,LSM9DS1 Z-Gyroscope,1.636
218,2020-04-17 01:00:33.500963,LSM9DS1 Temperature,6.5
219,2020-04-17 01:00:33.500963,LSM9DS1 X-Accelerometer Average,-0.053685534591194954
220,2020-04-17 01:00:33.500963,LSM9DS1 Y-Accelerometer Average,-0.5940817610062893
221,2020-04-17 01:00:33.500963,LSM9DS1 Z-Accelerometer Average,9.57883018867925
222,2020-04-17 01:00:34.891816,LSM9DS1 X-Accelerometer,-0.03
223,2020-04-17 01:00:34.891816,LSM9DS1 Y-Accelerometer,-0.569
224,2020-04-17 01:00:34.891816,LSM9DS1 Z-Accelerometer,9.55
225,2020-04-17 01:00:34.891816,LSM9DS1 X-Magnetometer,0.378
226,2020-04-17 01:00:34.891816,LSM9DS1 Y-Magnetometer,0.549
227,2020-04-17 01:00:34.891816,LSM9DS1 Z-Magnetometer,-0.277
228,2020-04-17 01:00:34.891816,LSM9DS1 X-Gyroscope,-0.193
229,2020-04-17 01:00:34.891816,LSM9DS1 Y-Gyroscope,-0.35
230,2020-04-17 01:00:34.891816,LSM9DS1 Z-Gyroscope,1.916
231,2020-04-17 01:00:34.891816,LSM9DS1 Temperature,6.5
232,2020-04-17 01:00:34.891816,LSM9DS1 X-Accelerometer Average,-0.04899999999999998
233,2020-04-17 01:00:34.891816,LSM9DS1 Y-Accelerometer Average,-0.5910759493670883
234,2020-04-17 01:00:34.891816,LSM9DS1 Z-Accelerometer Average,9.579018987341772
235,2020-04-17 01:00:36.285052,LSM9DS1 X-Accelerometer,-0.049
236,2020-04-17 01:00:36.285052,LSM9DS1 Y-Accelerometer,-0.574
237,2020-04-17 01:00:36.285052,LSM9DS1 Z-Accelerometer,9.59
238,2020-04-17 01:00:36.285052,LSM9DS1 X-Magnetometer,0.38
239,2020-04-17 01:00:36.285052,LSM9DS1 Y-Magnetometer,0.543
240,2020-04-17 01:00:36.285052,LSM9DS1 Z-Magnetometer,-0.256
241,2020-04-17 01:00:36.285052,LSM9DS1 X-Gyroscope,-0.368
242,2020-04-17 01:00:36.285052,LSM9DS1 Y-Gyroscope,-0.753
243,2020-04-17 01:00:36.285052,LSM9DS1 Z-Gyroscope,1.706
244,2020-04-17 01:00:36.285052,LSM9DS1 Temperature,6.5
245,2020-04-17 01:00:36.285052,LSM9DS1 X-Accelerometer Average,-0.05396855345911948
246,2020-04-17 01:00:36.285052,LSM9DS1 Y-Accelerometer Average,-0.5938553459119494
247,2020-04-17 01:00:36.285052,LSM9DS1 Z-Accelerometer Average,9.57772327044025
248,2020-04-17 01:00:37.678273,LSM9DS1 X-Accelerometer,-0.101
249,2020-04-17 01:00:37.678273,LSM9DS1 Y-Accelerometer,-0.591
250,2020-04-17 01:00:37.678273,LSM9DS1 Z-Accelerometer,9.636
251,2020-04-17 01:00:37.678273,LSM9DS1 X-Magnetometer,0.381
252,2020-04-17 01:00:37.678273,LSM9DS1 Y-Magnetometer,0.538
253,2020-04-17 01:00:37.678273,LSM9DS1 Z-Magnetometer,-0.264
254,2020-04-17 01:00:37.678273,LSM9DS1 X-Gyroscope,-0.368
255,2020-04-17 01:00:37.678273,LSM9DS1 Y-Gyroscope,-0.35
256,2020-04-17 01:00:37.678273,LSM9DS1 Z-Gyroscope,1.855
257,2020-04-17 01:00:37.678273,LSM9DS1 Temperature,6.5
258,2020-04-17 01:00:37.678273,LSM9DS1 X-Accelerometer Average,-0.05406918238993708
